city_ascii;province_id;province_name;lat;lng;population;density
Malpeque;PE;Prince Edward Island;46.5;-63.6667;1029;8.1
Plantagenet;ON;Ontario;45.5321;-74.9956;1027;260.5
Longue-Rive;QC;Quebec;48.55;-69.25;1026;3.3
Argyle;MB;Manitoba;49.3697;-99.1506;1025;1.3
Davidson;SK;Saskatchewan;51.2667;-105.9667;1025;228.4
Plaster Rock;NB;New Brunswick;46.8833;-67.3833;1023;336.1
Wilmot;NB;New Brunswick;46.3463;-67.7099;1022;5.3
Valemount;BC;British Columbia;52.8284;-119.2659;1021;197.6
Saint-Leonard-de-Portneuf;QC;Quebec;46.8833;-71.9167;1019;7.2
Alberta Beach;AB;Alberta;53.6767;-114.35;1018;507.1
Saint-Narcisse-de-Rimouski;QC;Quebec;48.28;-68.43;1017;6.2
Saint-Bonaventure;QC;Quebec;45.9667;-72.6833;1017;12.9
Longlaketon No. 219;SK;Saskatchewan;50.9386;-104.6913;1016;1
Papineau-Cameron;ON;Ontario;46.3;-78.7333;1016;1.8
Assiginack;ON;Ontario;45.7333;-81.8;1013;4.5
Brebeuf;QC;Quebec;46.0667;-74.6667;1012;27.9
Hudson Hope;BC;British Columbia;56.0316;-121.9057;1012;1.1
Prince;ON;Ontario;46.5333;-84.5;1010;11.8
Baie-du-Febvre;QC;Quebec;46.13;-72.72;1010;10.4
Durham-Sud;QC;Quebec;45.6667;-72.3333;1008;10.8
Melbourne;QC;Quebec;45.58;-72.17;1004;5.8
Nipawin No. 487;SK;Saskatchewan;53.2881;-104.0544;1004;1.1
Duck Lake No. 463;SK;Saskatchewan;52.9596;-106.2089;1004;1
Oyen;AB;Alberta;51.3522;-110.4739;1001;189.6
